contractSymbol,expirationDate,lastPrice,spotPrice,strikePrice,ticker,volatility
AAPL230414C00050000,2023-04-14,104.66,160.25,50,AAPL,2.042973642578125
AAPL230414C00060000,2023-04-14,94.64,160.25,60,AAPL,1.8496101269531249
AAPL230414C00095000,2023-04-14,60.55,160.25,95,AAPL,1.12109814453125
AAPL230414C00100000,2023-04-14,56.4,160.25,100,AAPL,1.0371141894531253
AAPL230414C00110000,2023-04-14,50.1,160.25,110,AAPL,0.852540537109375
AAPL230414C00115000,2023-04-14,43.7,160.25,115,AAPL,0.7851583984375
AAPL230414C00125000,2023-04-14,35.53,160.25,125,AAPL,0.637698935546875
AAPL230414C00130000,2023-04-14,31.12,160.25,130,AAPL,0.5722699023437501
AAPL230414C00131000,2023-04-14,29.2,160.25,131,AAPL,0.5556685058593751
AAPL230414C00132000,2023-04-14,23.98,160.25,132,AAPL,0.5498091894531252
AAPL230414C00133000,2023-04-14,24.85,160.25,133,AAPL,0.5327195166015625
AAPL230414C00134000,2023-04-14,22.94,160.25,134,AAPL,0.51562984375
AAPL230414C00135000,2023-04-14,25.12,160.25,135,AAPL,0.508793974609375
AAPL230414C00136000,2023-04-14,24.1,160.25,136,AAPL,0.5266160620117188
AAPL230414C00137000,2023-04-14,22.28,160.25,137,AAPL,0.516606396484375
AAPL230414C00138000,2023-04-14,23.7,160.25,138,AAPL,0.4985401708984375
AAPL230414C00139000,2023-04-14,20.95,160.25,139,AAPL,0.4880422290039063
AAPL230414C00140000,2023-04-14,19.77,160.25,140,AAPL,0.4770560107421875
AAPL230414C00141000,2023-04-14,19.15,160.25,141,AAPL,0.4587456469726563
AAPL230414C00142000,2023-04-14,17.27,160.25,142,AAPL,0.4470270141601562
AAPL230414C00143000,2023-04-14,16.97,160.25,143,AAPL,0.4348201049804688
AAPL230414C00144000,2023-04-14,16.5,160.25,144,AAPL,0.4279842358398438
AAPL230414C00145000,2023-04-14,16.05,160.25,145,AAPL,0.4030821411132813
AAPL230414C00146000,2023-04-14,14.2,160.25,146,AAPL,0.4008848974609375
AAPL230414C00147000,2023-04-14,14.36,160.25,147,AAPL,0.3813538427734374
AAPL230414C00148000,2023-04-14,13.26,160.25,148,AAPL,0.38184211914062494
AAPL230414C00149000,2023-04-14,12.4,160.25,149,AAPL,0.37085590087890624
AAPL230414C00150000,2023-04-14,11.71,160.25,150,AAPL,0.3591372680664062
AAPL230414C00152500,2023-04-14,9.48,160.25,152.5,AAPL,0.3421696643066406
AAPL230414C00155000,2023-04-14,7.7,160.25,155,AAPL,0.3237372314453124
AAPL230414C00157500,2023-04-14,5.9,160.25,157.5,AAPL,0.30225307128906254
AAPL230414C00160000,2023-04-14,4.4,160.25,160,AAPL,0.2919992675781249
AAPL230414C00162500,2023-04-14,2.98,160.25,162.5,AAPL,0.2640454455566406
AAPL230414C00165000,2023-04-14,1.95,160.25,165,AAPL,0.24951922363281248
AAPL230414C00167500,2023-04-14,1.13,160.25,167.5,AAPL,0.2368240380859375
AAPL230414C00170000,2023-04-14,0.63,160.25,170,AAPL,0.22754678710937498
AAPL230414C00172500,2023-04-14,0.31,160.25,172.5,AAPL,0.22266402343749997
AAPL230414C00175000,2023-04-14,0.17,160.25,175,AAPL,0.21875781249999998
AAPL230414C00177500,2023-04-14,0.1,160.25,177.5,AAPL,0.22754678710937498
AAPL230414C00180000,2023-04-14,0.06,160.25,180,AAPL,0.23535920898437498
AAPL230414C00182500,2023-04-14,0.04,160.25,182.5,AAPL,0.247077841796875
AAPL230414C00185000,2023-04-14,0.02,160.25,185,AAPL,0.26856200195312496
AAPL230414C00190000,2023-04-14,0.03,160.25,190,AAPL,0.30274134765625
AAPL230414C00195000,2023-04-14,0.01,160.25,195,AAPL,0.33008482421874996
AAPL230414C00200000,2023-04-14,0.01,160.25,200,AAPL,0.367193828125
AAPL230414C00215000,2023-04-14,0.02,160.25,215,AAPL,0.44922425781249997
AAPL230414C00220000,2023-04-14,0.01,160.25,220,AAPL,0.4804739453125
AAPL230414C00245000,2023-04-14,0.01,160.25,245,AAPL,0.585941640625
AAPL230421C00050000,2023-04-21,109.15,160.25,50,AAPL,1.9101566992187502
AAPL230421C00060000,2023-04-21,95.45,160.25,60,AAPL,1.65234548828125
